keyword,created_at,user_id,text
comunidad,2024-07-09 18:11:31+00:00,364973590,"@BArevalodeLeon estuvo con la comunidad de la Zona Reina, conociendo las propuestas de luz comunitaria que se impulsan como parte de la apuesta por la #SoberaníaEnergética💚💡
Esperamos que este, sea uno de muchos más encuentros. 💚
@MEMguatemala https://t.co/hKEA51D93r"
comunidad,2024-07-09 18:11:30+00:00,1117127003176677384,"@primegestions Por lo que he leído, no es Madrid, es Comunidad Autónoma de Madrid.
Madrid está a 35 minutos en coche..."
comunidad,2024-07-09 18:11:20+00:00,937929035304316930,@gastonedul Podes saludar a la comunidad coffe?
comunidad,2024-07-09 18:11:14+00:00,306211089,"El intendente @mmpcurutchet , acompañado de autoridades locales y miembros de la comunidad, encabezó el acto que conmemoró un nuevo aniversario de nuestra Independencia.

👉🏼 https://t.co/Sjshc26Nnp https://t.co/7b5lZwFRj1"
comunidad,2024-07-09 18:11:13+00:00,103985905,"Nuevo Amazon Echo Spot (modelo de 2024), despertador inteligente con sonido vibrante y Alexa, Negro
https://t.co/CQ8YZUvDxp

🟢 Únete a nuestra comunidad de WhatsApp GRATIS y tendrás esta y mucho más ofertas:
https://t.co/HFbsXFtGCe https://t.co/soYuGPJt1P"
comunidad,2024-07-09 18:11:09+00:00,1393955379407687683,@zuricht94 Esas son las que se creen dueños de la comunidad y del pueblo las que amenazan a los abuelos con quitarle la pensión si no votan por la gallina culeca del psuv
comunidad,2024-07-09 18:11:05+00:00,946080447733182469,@canalN_ Dónde m***** encuentran a este tipo de gente que tiene estas opiniones Y eso de que no puede llegar a la comunidad escuetazo porque hasta por tierra puede
comunidad,2024-07-09 18:11:02+00:00,1266466624883888130,"@surthycooks @cuquirobollo22 JAJAJAJA QUE PAPEADA, en Venezuela hay una comunidad árabe inmensa, es grato verte representándola de la manera en que lo haces surthy, bendiciones para ti, bello ser humano."
comunidad,2024-07-09 18:11:01+00:00,81164546,#Comunidad | Felicidades a los 17 egresados del Internado Médico de Cuernavaca y Temixco 🎓🎉🏥. ¡Bien hecho! https://t.co/G9GhViNQ2K
separación,2024-07-09 18:08:04+00:00,1554599778,la separación de wanda y mauro icardi 🤌🤌kskdja no les creo nada
separación,2024-07-09 18:06:34+00:00,950152591698284545,"📺 #URGENTE Un magistrado acusa al Gobierno de Pedro Sánchez de obstaculizar el proceso contra Begoña Gómez y saltarse la separación de poderes:

“Están faltando a la lealtad institucional”

“Desde el Gobierno están presionando y señalando al juez Peinado”
https://t.co/Wc0nwOGQEy"
separación,2024-07-09 18:05:36+00:00,3160416387,@jusdemperu Muy bien por el poder judicial patriotas y el ministerio publico patriotas que defienden al pueblo con la debida separación de poderes constituyen la única fuerza moral del Pais y asi seran reconocidos hoy que vivimos una dictadura del congreso y ejecutivo de amplio conocimiento
separación,2024-07-09 18:05:24+00:00,148385840,"@estonoesradioTW @casalsbate @HanselGarciaR Ese señor habla muy bonito y entonado tiene cara de enviado de la ONU ... maldita separación que hubo que sacarlo a bombas y tiro, 😡 😒 🙄 lo creía más sabio 😡 🤦 😒 🤣"
separación,2024-07-09 18:04:28+00:00,1590009356485107713,"@estonoesradioTW ese señor dijo claro que Leyó la historia en libros que casualmente fueron escritos por PRO🇭🇹, hace años se tergiversó, como metieron el Gaga🇭🇹 y hasta libro se han hecho diciendo es 🇩🇴, nada con los 🇭🇹 es Pacifico mucho menos la separación del Yugo 🇭🇹 de 22 años https://t.co/YlAjgHQHHi"
separación,2024-07-09 18:04:20+00:00,4646838989,"Chutri en verdad casi ningún país de la tierra cumple eso de la separación iglesia y estado al 100% pero bueno ajá, solo China y otros dos que tres países nórdicos. https://t.co/cRqnJmMcrQ"
separación,2024-07-09 18:01:17+00:00,1409263900319698946,"@Politizados_com Esto SÍ es separación de poderes.
Aunque no es un sistema perfecto."
separación,2024-07-09 18:01:04+00:00,1597222723960406017,"@miguelexplorer La separación de poderes y tal y luego os ponéis cuerdos hablando de la falta de democracia en otros países como Rusia por ejemplo …
Este país es un estado de desecho desde 1975."
separación,2024-07-09 18:00:00+00:00,609169779,"🔴 URGENTE | Un magistrado acusa al Gobierno de obstaculizar el proceso contra Begoña Gómez y saltarse la separación de poderes: ""Están faltando a la lealtad institucional"".

""Desde el Gobierno están presionando y señalando al juez Peinado"".

👉 https://t.co/t99lM54DiL https://t.co/LMWt8MKuPn"
separación,2024-07-09 17:59:59+00:00,1745575570891583488,"@agmethescaf ES INOCENTE
DE LA SEPARACIÓN DEL TRAVESTI @petrogustavo y @Veronicalcocerg 😂😂😂 https://t.co/bzSCScnecw"
albergue,2024-07-09 17:58:54+00:00,1090825441,@MontenegroViki @jorgemacri Sino decile a la chorra de tu jefa que los albergue en los hoteles que tiene y las propiedades que tiene!!! Cara dura!!! 20 años gobernaron y dejaron el país hecho mierda. Silencio!!!!
albergue,2024-07-09 17:48:02+00:00,407077012,"El Ayuntamiento recibirá una ayuda de 2,9 millones de euros para rehabilitar el albergue y bar, así como la zona junto al puente
https://t.co/aiRM92gPrG"
albergue,2024-07-09 17:46:43+00:00,28191953,"Desde la SEN detallaron que entre anoche y hoy, el albergue ubicado en la Costanera de Asunción sobrepasó su capacidad pero ante esto, ya realizaron una ampliación.

⭕ Canal de WhatsApp: https://t.co/zcjWhsOf0A

https://t.co/5OL6Ey1KD8"
albergue,2024-07-09 17:41:32+00:00,1236823813,"➡️Albergue de Cadereyta requiere personal de seguridad: directora

#Seguridad| El albergue municipal de #Cadereyta requiere de un guardia de seguridad en la entrada para tener un mayor control del acceso, consideró Guillermina Olvera.
https://t.co/MrprvjVFOA https://t.co/YUS2rt6Q72"
albergue,2024-07-09 17:35:42+00:00,586695861,"@juanmalamet La ONG que ha ""acogido"" a los africanos en la mitad del albergue de Puente Sardas, compró la explotación durante un año de esa zona y al no haber más propuestas paga 1€ al mes. Imagino que es a ella, pues la gestiona una mujer la que recibe los fondos de 400€ por africano."
albergue,2024-07-09 17:34:51+00:00,1034141377137979393,"@DoublasM2 @Bibliotecoculta Un dato interesante y que no se refleja en ninguna publicación es que,en  ese día sobre las 19 horas, en el puerto de Navacerrada y justamente en el Albergue de Frente de Juventud Francisco Franco, tuvo lugar un avistamiento previo al de San José de Valderas"
albergue,2024-07-09 17:33:38+00:00,586695861,"@juanmalamet Ellos pensaban que al igual que a los ucranianos que estuvieron también en este albergue y les dieron los papeles en dos meses, conseguirían poder tenerlos y poder desempeñar sus oficios, pues muchos son padres de familia, albañiles, carpinteros, fontaneros, sastres..."
